red_izo,KODOK,NAZKR,NAZOK
600022765,3401,Plzeňský,Domažlice
600028429,3401,Plzeňský,Domažlice
600008924,3401,Plzeňský,Domažlice
600008975,3402,Karlovarský,Cheb
600066584,3402,Karlovarský,Cheb
600009009,3402,Karlovarský,Cheb
600170462,3402,Karlovarský,Cheb
600019632,3402,Karlovarský,Cheb
600009076,3402,Karlovarský,Cheb
651011434,3402,Karlovarský,Cheb
600008991,3402,Karlovarský,Cheb
600009033,3402,Karlovarský,Cheb
600009301,3403,Karlovarský,Karlovy Vary
600009181,3403,Karlovarský,Karlovy Vary
600009262,3403,Karlovarský,Karlovy Vary
600009190,3403,Karlovarský,Karlovy Vary
600009211,3403,Karlovarský,Karlovy Vary
600009254,3403,Karlovarský,Karlovy Vary
600009122,3403,Karlovarský,Karlovy Vary
600009319,3403,Karlovarský,Karlovy Vary
600009106,3403,Karlovarský,Karlovy Vary
600009203,3403,Karlovarský,Karlovy Vary
600009238,3403,Karlovarský,Karlovy Vary
600019641,3403,Karlovarský,Karlovy Vary
650003969,3403,Karlovarský,Karlovy Vary
600022854,3403,Karlovarský,Karlovy Vary
600009131,3403,Karlovarský,Karlovy Vary
600009297,3403,Karlovarský,Karlovy Vary
600009084,3403,Karlovarský,Karlovy Vary
600009289,3403,Karlovarský,Karlovy Vary
600009271,3403,Karlovarský,Karlovy Vary
600028542,3403,Karlovarský,Karlovy Vary
600009408,3404,Plzeňský,Klatovy
600009335,3404,Plzeňský,Klatovy
600009327,3404,Plzeňský,Klatovy
600009424,3404,Plzeňský,Klatovy
600009386,3404,Plzeňský,Klatovy
600009360,3404,Plzeňský,Klatovy
600009416,3404,Plzeňský,Klatovy
600009696,3405,Plzeňský,Plzeň-město
600009564,3405,Plzeňský,Plzeň-město
600009611,3405,Plzeňský,Plzeň-město
600009637,3405,Plzeňský,Plzeň-město
600009548,3405,Plzeňský,Plzeň-město
600009556,3405,Plzeňský,Plzeň-město
600009700,3405,Plzeňský,Plzeň-město
600170501,3405,Plzeňský,Plzeň-město
600009530,3405,Plzeňský,Plzeň-město
600009599,3405,Plzeňský,Plzeň-město
600022986,3405,Plzeňský,Plzeň-město
600009661,3405,Plzeňský,Plzeň-město
600009602,3405,Plzeňský,Plzeň-město
650076575,3405,Plzeňský,Plzeň-město
600009670,3405,Plzeňský,Plzeň-město
600009726,3405,Plzeňský,Plzeň-město
600009459,3405,Plzeňský,Plzeň-město
610100645,3405,Plzeňský,Plzeň-město
600009467,3405,Plzeňský,Plzeň-město
610100581,3405,Plzeňský,Plzeň-město
600009718,3405,Plzeňský,Plzeň-město
610100530,3405,Plzeňský,Plzeň-město
600009734,3405,Plzeňský,Plzeň-město
600019675,3405,Plzeňský,Plzeň-město
600009491,3405,Plzeňský,Plzeň-město
600009742,3405,Plzeňský,Plzeň-město
600009751,3406,Plzeňský,Plzeň-jih
600009769,3406,Plzeňský,Plzeň-jih
600009785,3406,Plzeňský,Plzeň-jih
600009823,3407,Plzeňský,Plzeň-sever
600009815,3407,Plzeňský,Plzeň-sever
600009793,3407,Plzeňský,Plzeň-sever
600023036,3407,Plzeňský,Plzeň-sever
600009831,3408,Plzeňský,Rokycany
600009866,3408,Plzeňský,Rokycany
600009858,3408,Plzeňský,Rokycany
600028747,3408,Plzeňský,Rokycany
600023087,3409,Karlovarský,Sokolov
600009891,3409,Karlovarský,Sokolov
600073017,3409,Karlovarský,Sokolov
600009874,3409,Karlovarský,Sokolov
600009882,3409,Karlovarský,Sokolov
610100718,3409,Karlovarský,Sokolov
600170527,3409,Karlovarský,Sokolov
600009904,3409,Karlovarský,Sokolov
651012988,3409,Karlovarský,Sokolov
600009963,3410,Plzeňský,Tachov
600009971,3410,Plzeňský,Tachov
600009947,3410,Plzeňský,Tachov
600009980,3410,Plzeňský,Tachov
600009955,3410,Plzeňský,Tachov
600170535,3410,Plzeňský,Tachov
600010112,3501,Liberecký,Česká Lípa
600009998,3501,Liberecký,Česká Lípa
600010015,3501,Liberecký,Česká Lípa
600010104,3501,Liberecký,Česká Lípa
600010082,3501,Liberecký,Česká Lípa
600010040,3501,Liberecký,Česká Lípa
600075150,3501,Liberecký,Česká Lípa
600010023,3501,Liberecký,Česká Lípa
600010007,3501,Liberecký,Česká Lípa
600020347,3501,Liberecký,Česká Lípa
600023231,3502,Ústecký,Děčín
600076431,3502,Ústecký,Děčín
