red_izo,CJ UZ Z,AJ UZ Z,CJ PP Z,AJ PP Z,MA DT Z,CJ DT Z,AJ DT Z,www,adresa,nazev_plny,red_naz,KODOK,NAZOK,NAZKR
600021327,,,,,,,,www.sssjak.cz,"Křejpského 1501, Praha 4",Základní škola a střední škola waldorfská,ZŠ a střední škola waldorfská,3100,Hlavní město Praha,Hlavní město Praha
651028922,28.0,50.1,23.8,30.9,76.4,65.2,80.0,www.slovgym.cz,"Weberova 1, Praha 5",1. Slovanské gymnázium,1. Slovanské gymnázium,3100,Hlavní město Praha,Hlavní město Praha
600004872,45.8,51.2,73.3,41.0,,69.6,54.0,www.sgjs.cz,"Plzeňská 39, Praha 5",Soukromé gymnasium Josefa Škvoreckého s.r.o.,Soukromé gymnasium J. Škvoreckého s.r.o.,3100,Hlavní město Praha,Hlavní město Praha
600005585,,,,,,,,www.klapice.cz,"Pod Klapicí 11, Praha 5","Střední odborné učiliště, Praha - Radotín","SOU, Praha - Radotín",3100,Hlavní město Praha,Hlavní město Praha
600005518,51.6,75.7,67.7,69.1,88.8,87.8,87.1,www.gchd.cz,"Zborovská 45, Praha 5",Gymnázium Christiana Dopplera,Gymnázium Christ. Dopplera,3100,Hlavní město Praha,Hlavní město Praha
600005666,19.7,38.8,47.5,37.2,,26.0,40.5,http://www.soastodulky.cz,"Kuncova 1580, Praha 5","Střední odborná škola a Taneční konzervatoř Ivo Váni - Psoty v Praze, s.r.o.","SOŠ a Tan. konz. I. Váni - Psoty, s.r.o.",3100,Hlavní město Praha,Hlavní město Praha
600005569,36.9,18.2,24.9,28.2,8.3,31.7,24.5,www.dostihovaskola.cz,"U Závodiště 325, Praha 5",Střední škola dostihového sportu a jezdectví,SŠ dostihového sportu a jezdectví,3100,Hlavní město Praha,Hlavní město Praha
600171418,58.1,,45.8,,44.7,40.9,,goa.braillnet.cz,"Radlická 115, Praha 5","Gymnázium pro zrakově postižené a Střední odborná škola pro zrakově postižené, Praha 5, Radlická 115",Gymnázium a SOŠ pro zrakově postižené,3100,Hlavní město Praha,Hlavní město Praha
600005534,48.4,44.0,58.3,67.8,84.0,82.7,86.4,www.gymjh.cz,"Mezi Školami 2475, Praha 5","Gymnázium Jaroslava Heyrovského, Praha 5, Mezi Školami 2475",Gymnázium J. Heyrovského,3100,Hlavní město Praha,Hlavní město Praha
691000212,38.6,60.9,49.9,67.9,,76.1,81.1,gymnaziumstodulky.cz,"Kuncova 1580, Praha 5",Gymnázium mezinárodních a veřejných vztahů Praha s.r.o.,Gymnázium mez.a veř. vztahů Praha s.r.o,3100,Hlavní město Praha,Hlavní město Praha
